"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.11199904298625,0.655,0.184,0,"6","Zfpm2"
0,1.5707654541994,0.873,0.417,0,"6","Neto2"
0,2.02023582530835,0.594,0.178,0,"6","Col6a1"
0,1.12926609636795,0.89,0.486,0,"6","Gfra2"
0,2.29047675984443,0.987,0.584,0,"6","Tle4"
0,1.5563328352259,0.673,0.284,0,"6","Plcxd3"
0,2.03835852391003,0.472,0.113,0,"6","Cwh43"
0,3.38157125879258,0.385,0.04,0,"6","Trbc2"
0,2.43128945782804,0.993,0.664,0,"6","Garnl3"
0,1.96364250589352,0.333,0.067,0,"6","Rxfp1"
0,1.40829958269353,0.987,0.723,0,"6","Dkk3"
0,2.97605823836708,0.302,0.046,0,"6","Sla"
0,1.0466489855087,1,0.873,0,"6","Slc17a7"
1.96241091634553e-299,0.845167163513032,0.942,0.666,4.86677907253692e-297,"6","Gng12"
5.41947642723783e-281,0.721655240044192,0.987,0.785,1.34403015395498e-278,"6","Dpy19l1"
8.04082084749909e-275,1.29117004216854,0.512,0.186,1.99412357017977e-272,"6","Cdh9"
6.02005541970155e-250,1.11502094066075,0.789,0.543,1.49297374408598e-247,"6","Meis2"
1.62791126787191e-245,3.31078033279867,0.327,0.102,4.03721994432233e-243,"6","Cplx3"
2.62287174072307e-231,1.78414214933163,0.366,0.122,6.50472191699322e-229,"6","Sema5b"
8.30478174901107e-205,0.67381734275449,0.71,0.41,2.05958587375475e-202,"6","Ppp1r1b"
6.66752819984237e-199,1.01229006645105,0.56,0.253,1.65354699356091e-196,"6","Sema3e"
2.9306480050298e-193,0.753005289575479,0.592,0.271,7.26800705247391e-191,"6","Rasl10a"
3.80740843110441e-189,0.575234708037859,0.772,0.42,9.44237290913893e-187,"6","Necab1"
3.20759090464821e-188,1.68225451392218,0.339,0.121,7.95482544352756e-186,"6","Pcsk5"
2.43706848720775e-176,0.971861549254782,0.531,0.244,6.04392984827521e-174,"6","Sema3a"
2.96792392302059e-175,2.3764961466722,0.35,0.136,7.36045132909107e-173,"6","Ccn2"
4.70013747034118e-172,0.751456642583225,0.768,0.418,1.16563409264461e-169,"6","Satb2"
4.63753147497674e-171,0.671567259613915,0.857,0.544,1.15010780579423e-168,"6","Fhod3"
1.56276058915272e-159,0.631610675741612,0.512,0.239,3.87564626109875e-157,"6","Rab3b"
5.36590435922403e-157,0.593131876454806,0.957,0.749,1.33074428108756e-154,"6","Arc"
